id,title,popularity,vote_average,vote_count,release_date,source,genre_ids,original_language,adult,genre_count,is_english,is_adult,release_year,popularity_log,is_popular,is_recent
1305781,Blades of the Guardians: Wind Rises in the Desert,16.2797,7.0,36,2026-02-17,now_playing,"[28, 18, 36]",zh,False,3,0,0,2026,2.8495324021140926,0,
1381027,Good Boy,17.9556,7.299,102,2026-03-06,now_playing,"[53, 18, 9648]",en,False,3,1,0,2026,2.942099402384496,0,
1440050,The Breadwinner,20.3651,6.75,4,2026-05-28,now_playing,"[35, 10751]",en,False,2,1,0,2026,3.06175874963734,0,
1193501,Whistle,15.3302,6.279,444,2026-01-20,now_playing,"[27, 9648]",en,False,2,1,0,2026,2.793016154304803,0,
1542261,Doraemon the Movie: New Nobita and the Castle of the Undersea Devil,15.1363,7.8,9,2026-02-27,now_playing,"[16, 12, 14, 10751]",ja,False,4,0,0,2026,2.781071392447352,0,
744,Top Gun,15.2909,7.067,9579,1986-05-16,now_playing,"[28, 18, 10749]",en,False,3,1,0,1986,2.7906066697065897,0,
1688163,Hayok,16.0413,7.0,1,2026-05-15,now_playing,[18],tl,False,1,0,0,2026,2.8356398095709654,0,
1421155,Ikatan Darah,13.8573,6.5,4,2026-04-30,now_playing,"[28, 80, 53]",id,False,3,0,0,2026,2.698491326953201,0,
1293550,Bandar,40.578,0.0,0,2026-06-05,now_playing,[53],hi,False,1,0,0,2026,3.7275711812249215,0,
1102883,Mother Mary,13.5744,5.7,79,2026-04-16,now_playing,"[10402, 18, 53]",en,False,3,1,0,2026,2.679266565008408,0,
467905,How to Make a Killing,17.9654,7.065,422,2026-02-16,now_playing,"[35, 53]",en,False,2,1,0,2026,2.9426162664027533,0,
1317149,I Swear,14.8613,8.263,331,2025-09-22,now_playing,[18],en,False,1,1,0,2025,2.7638821800606883,0,
238,The Godfather,44.8929,8.687,23000,1972-03-14,top_rated,"[18, 80]",en,False,2,1,0,1972,3.82631042100582,0,
240,The Godfather Part II,31.4238,8.572,13945,1974-12-20,top_rated,"[18, 80]",en,False,2,1,0,1974,3.4788927210365665,0,
424,Schindler's List,24.4928,8.569,17491,1993-12-15,top_rated,"[18, 36, 10752]",en,False,3,1,0,1993,3.2383960593541072,0,
389,12 Angry Men,24.5916,8.562,10015,1957-04-10,top_rated,[18],en,False,1,1,0,1957,3.24226417264073,0,
129,Spirited Away,35.1311,8.535,18372,2001-07-20,top_rated,"[16, 10751, 14]",ja,False,3,0,0,2001,3.5871539903091545,0,
155,The Dark Knight,40.1315,8.531,35852,2008-07-16,top_rated,"[28, 80, 53]",en,False,3,1,0,2008,3.716774251307452,0,
19404,Dilwale Dulhania Le Jayenge,18.3882,8.5,4591,1995-10-20,top_rated,"[35, 18, 10749]",hi,False,3,0,0,1995,2.964664633589094,0,
497,The Green Mile,28.0257,8.507,19297,1999-12-10,top_rated,"[14, 18, 80]",en,False,3,1,0,1999,3.368181644433538,0,
122,The Lord of the Rings: The Return of the King,43.5172,8.499,26606,2003-12-17,top_rated,"[12, 14, 28]",en,False,3,1,0,2003,3.79587563134773,0,
496243,Parasite,35.0029,8.494,20687,2019-05-30,top_rated,"[35, 53, 18]",ko,False,3,0,0,2019,3.583599490767241,0,
1181678,¿Quieres ser mi hijo?,12.5156,8.493,354,2023-09-21,top_rated,"[35, 10749]",en,False,2,1,0,2023,2.603844573859514,0,
680,Pulp Fiction,33.8069,8.483,30248,1994-09-10,top_rated,"[53, 80, 35]",en,False,3,1,0,1994,3.549815642988437,0,
429,"The Good, the Bad and the Ugly",25.227,8.468,9668,1966-12-23,top_rated,[37],it,False,1,0,0,1966,3.2667894144821994,0,
13,Forrest Gump,28.6181,8.465,29799,1994-06-23,top_rated,"[35, 18, 10749]",en,False,3,1,0,1994,3.3883856609348197,0,
769,GoodFellas,23.7622,8.454,14381,1990-09-12,top_rated,"[18, 80]",en,False,2,1,0,1990,3.209318296857894,0,
346,Seven Samurai,13.4646,8.45,4238,1954-04-26,top_rated,"[28, 18]",ja,False,2,0,0,1954,2.671704285090339,0,
12477,Grave of the Fireflies,0.0131,8.443,6528,1988-04-16,top_rated,"[16, 18, 10752]",ja,False,3,0,0,1988,0.0130149370774946,0,
637,Life Is Beautiful,13.0498,8.438,14003,1997-12-20,top_rated,"[35, 18]",it,False,2,0,0,1997,2.642608160802993,0,
550,Fight Club,28.692,8.438,32102,1999-10-15,top_rated,"[18, 53]",en,False,2,1,0,1999,3.3908776492553003,0,
14537,Harakiri,8.842,8.4,1214,1962-09-15,top_rated,"[28, 18, 36]",ja,False,3,0,0,1962,2.286658942443786,0,
120,The Lord of the Rings: The Fellowship of the Ring,40.2757,8.434,27608,2001-12-18,top_rated,"[12, 14, 28]",en,False,3,1,0,2001,3.7202739490809167,0,
598,City of God,11.9233,8.429,8193,2002-08-30,top_rated,"[18, 80]",pt,False,2,0,0,2002,2.5590318836974992,0,
11216,Cinema Paradiso,11.3715,8.427,4833,1988-11-17,top_rated,"[18, 10749]",it,False,2,0,0,1988,2.515395440168464,0,
121,The Lord of the Rings: The Two Towers,27.6841,8.419,23928,2002-12-18,top_rated,"[12, 14, 28]",en,False,3,1,0,2002,3.356342962278371,0,
539,Psycho,17.582,8.4,10998,1960-06-22,top_rated,"[27, 53, 9648]",en,False,3,1,0,1960,2.9221933702191207,0,
510,One Flew Over the Cuckoo's Nest,12.4102,8.413,11466,1975-11-19,top_rated,[18],en,False,1,1,0,1975,2.596015611425473,0,
40096,A Dog's Will,4.8647,8.408,1223,2000-09-15,top_rated,"[35, 18, 14, 10749]",pt,False,4,0,0,2000,1.7689513299020465,0,
255709,Hope,13.9629,8.403,858,2013-10-02,top_rated,[18],ko,False,1,0,0,2013,2.705573804027176,0,
667257,Impossible Things,5.4427,8.395,422,2021-06-17,top_rated,"[10751, 18]",es,False,2,0,0,2021,1.8629477069119704,0,
324857,Spider-Man: Into the Spider-Verse,24.5708,8.393,17261,2018-12-06,top_rated,"[16, 28, 12, 878]",en,False,4,1,0,2018,3.241451075477737,0,
1891,The Empire Strikes Back,14.6643,8.392,18439,1980-05-20,top_rated,"[12, 28, 878]",en,False,3,1,0,1980,2.751384237800872,0,
378064,A Silent Voice: The Movie,13.9104,8.4,4495,2016-09-17,top_rated,"[16, 18, 10749]",ja,False,3,0,0,2016,2.702058956049254,0,
4935,Howl's Moving Castle,21.2132,8.388,11097,2004-09-09,top_rated,"[14, 16, 12]",ja,False,3,0,0,2004,3.1006867067715027,0,
311,Once Upon a Time in America,14.3736,8.383,6047,1984-05-23,top_rated,"[18, 80]",en,False,2,1,0,1984,2.7326517526360803,0,
696374,Gabriel's Inferno,5.3167,8.382,2469,2020-05-29,top_rated,"[10749, 18]",en,False,2,1,0,2020,1.843196919891257,0,
807,Se7en,23.7189,8.382,23115,1995-09-22,top_rated,"[80, 9648, 53]",en,False,3,1,0,1995,3.2075681332175305,0,
770156,Lucy Shimmers and the Prince of Peace,9.381,8.38,362,2020-10-19,top_rated,"[18, 10751]",en,False,2,1,0,2020,2.3399772122111084,0,
244786,Whiplash,22.0292,8.375,16642,2014-10-10,top_rated,"[18, 10402, 53]",en,False,3,1,0,2014,3.136762975930065,0,
423,The Pianist,12.4,8.375,10147,2002-09-17,top_rated,"[18, 10752]",en,False,2,1,0,2002,2.5952547069568657,0,
1218925,Chainsaw Man - The Movie: Reze Arc,28.0729,8.374,903,2025-09-19,top_rated,"[16, 28, 10749, 14]",ja,False,4,0,0,2025,3.369806468797093,0,
27205,Inception,33.6119,8.372,39323,2010-07-15,top_rated,"[28, 878, 12]",en,False,3,1,0,2010,3.544197553568933,0,
12493,High and Low,8.5146,8.4,1126,1963-03-01,top_rated,"[18, 80, 53]",ja,False,3,0,0,1963,2.2528274609784846,0,
724089,Gabriel's Inferno: Part II,3.1435,8.348,1554,2020-07-31,top_rated,"[10749, 18]",en,False,2,1,0,2020,1.42154084130696,0,
